heightmap_id,category,terrace_steps,steps_4,steps_6,steps_8,steps_10,steps_12,steps_16,gamma,edge_sigma,morph_strength,contrast,homogeneity,energy,correlation,entropy,height_mean,height_std,hist_entropy,gradient_mean
Bark__bark 13_height,Bark,6,0,1,0,0,0,0,0.500000,4.500000,2.000000,0.682074,0.877823,0.438932,0.985360,0.544109,0.833467,0.075162,2.461292,0.002452
Bark__bark 13_height,Bark,6,0,1,0,0,0,0,0.500000,0.500000,2.000000,3.181477,0.951422,0.706269,0.956467,0.298296,0.853834,0.092488,1.479786,0.002681
Bark__bark 13_height,Bark,6,0,1,0,0,0,0,1.000000,1.500000,0.500000,7.941318,0.681347,0.232794,0.977219,2.562758,0.590484,0.209015,5.726410,0.011087
Bark__bark 13_height,Bark,6,0,1,0,0,0,0,1.000000,4.500000,2.000000,1.063725,0.839677,0.244579,0.990351,1.115237,0.723330,0.117798,3.896782,0.003419
Bark__bark 13_height,Bark,6,0,1,0,0,0,0,1.500000,0.500000,1.500000,7.194740,0.888961,0.446559,0.970675,0.939863,0.599791,0.176101,3.699895,0.006333
Bark__bark 13_height,Bark,6,0,1,0,0,0,0,1.500000,1.500000,2.000000,2.920043,0.847559,0.331282,0.984459,1.735240,0.641074,0.153370,4.467070,0.004797
Bark__bark 13_height,Bark,6,0,1,0,0,0,0,1.500000,3.000000,1.000000,4.423869,0.665072,0.129595,0.986469,2.634325,0.516948,0.202254,5.968750,0.008994
Bark__bark 13_height,Bark,6,0,1,0,0,0,0,2.000000,1.500000,2.000000,3.175167,0.838338,0.279996,0.984840,2.286208,0.561676,0.162357,5.327820,0.005054
Bark__bark 13_height,Bark,6,0,1,0,0,0,0,2.000000,4.500000,0.500000,5.820379,0.562118,0.088115,0.985813,2.632180,0.376733,0.227681,6.000000,0.011753
Bark__bark 13_height,Bark,8,0,0,1,0,0,0,0.500000,0.500000,0.500000,7.003493,0.835891,0.410580,0.962252,0.783645,0.757009,0.152399,3.569061,0.007928
Bark__bark 13_height,Bark,8,0,0,1,0,0,0,0.500000,3.000000,2.000000,0.579659,0.896399,0.484891,0.986056,0.536172,0.847818,0.070724,2.354228,0.002100
Bark__bark 13_height,Bark,8,0,0,1,0,0,0,0.500000,4.500000,2.000000,0.465727,0.883673,0.359609,0.988849,0.512804,0.841089,0.071181,2.461292,0.002121
Bark__bark 13_height,Bark,8,0,0,1,0,0,0,0.500000,0.500000,2.000000,1.858245,0.951246,0.694149,0.958574,0.298433,0.854555,0.074263,1.590737,0.002225
Bark__bark 13_height,Bark,8,0,0,1,0,0,0,1.000000,1.500000,0.500000,6.622473,0.627963,0.153798,0.980688,2.616397,0.588507,0.207834,5.692946,0.011283
Bark__bark 13_height,Bark,8,0,0,1,0,0,0,1.000000,4.500000,2.000000,0.987191,0.821450,0.188279,0.990797,1.097751,0.716015,0.115823,3.896782,0.003612
Bark__bark 13_height,Bark,8,0,0,1,0,0,0,1.500000,0.500000,1.500000,5.360197,0.864837,0.371989,0.977073,0.964944,0.592359,0.171786,4.185994,0.006283
Bark__bark 13_height,Bark,8,0,0,1,0,0,0,1.500000,1.500000,2.000000,2.169124,0.829373,0.277215,0.986944,1.790477,0.640741,0.144770,4.707647,0.004580
Bark__bark 13_height,Bark,8,0,0,1,0,0,0,1.500000,3.000000,1.000000,4.015663,0.657478,0.099092,0.987330,2.515626,0.515478,0.199817,5.818599,0.008761
Bark__bark 13_height,Bark,8,0,0,1,0,0,0,2.000000,1.500000,2.000000,2.503501,0.813414,0.243070,0.987757,2.175909,0.559391,0.160475,5.167141,0.005051
Bark__bark 13_height,Bark,8,0,0,1,0,0,0,2.000000,4.500000,0.500000,5.559324,0.556045,0.073043,0.985973,2.589621,0.376973,0.223619,6.000000,0.011581
Bark__bark 13_height,Bark,10,0,0,0,1,0,0,0.500000,0.500000,0.500000,5.594066,0.806910,0.343587,0.968839,0.840207,0.756402,0.149178,3.398984,0.007881
Bark__bark 13_height,Bark,10,0,0,0,1,0,0,0.500000,3.000000,2.000000,0.460285,0.899386,0.386435,0.988671,0.552150,0.854019,0.070022,2.461292,0.001905
Bark__bark 13_height,Bark,10,0,0,0,1,0,0,0.500000,4.500000,2.000000,0.414956,0.885877,0.284828,0.989976,0.504325,0.846323,0.071575,2.567818,0.002028
Bark__bark 13_height,Bark,10,0,0,0,1,0,0,0.500000,0.500000,2.000000,1.198954,0.954091,0.631926,0.970871,0.311299,0.863547,0.071164,1.701238,0.001815
Bark__bark 13_height,Bark,10,0,0,0,1,0,0,1.000000,1.500000,0.500000,6.051529,0.606542,0.114901,0.982093,2.648954,0.588639,0.206215,5.726410,0.011195
Bark__bark 13_height,Bark,10,0,0,0,1,0,0,1.000000,4.500000,2.000000,0.946078,0.821569,0.180053,0.990855,1.097475,0.716182,0.114011,3.994032,0.003566
Bark__bark 13_height,Bark,10,0,0,0,1,0,0,1.500000,0.500000,1.500000,4.290280,0.836968,0.278895,0.981793,1.080251,0.594267,0.171252,4.090446,0.006293
Bark__bark 13_height,Bark,10,0,0,0,1,0,0,1.500000,1.500000,2.000000,1.835742,0.821400,0.202406,0.988312,1.782195,0.640310,0.141077,4.649397,0.004424
Bark__bark 13_height,Bark,10,0,0,0,1,0,0,1.500000,3.000000,1.000000,3.901621,0.657061,0.101067,0.987553,2.506055,0.514492,0.198924,5.818599,0.008668
Bark__bark 13_height,Bark,10,0,0,0,1,0,0,2.000000,1.500000,2.000000,2.375290,0.806455,0.207562,0.988540,2.214558,0.558539,0.161001,5.135891,0.005082
